Rank,Title,Artist,Year
1,Justin Bieber,Love Yourself,2016
2,Justin Bieber,Sorry,2016
3,Drake,One Dance,2016
4,Rihanna Featuring Drake,Work,2016
5,twenty one pilots,Stressed Out,2016
6,Desiigner,Panda,2016
7,Adele,Hello,2016
8,The Chainsmokers Featuring Daya,Don't Let Me Down,2016
9,Justin Timberlake,Can't Stop The Feeling!,2016
10,The Chainsmokers Featuring Halsey,Closer,2016
11,Sia Featuring Sean Paul,Cheap Thrills,2016
12,Lukas Graham,7 Years,2016
13,Rihanna,Needed Me,2016
14,Flo Rida,My House,2016
15,Mike Posner,I Took A Pill In Ibiza,2016
16,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,2016
17,Calvin Harris Featuring Rihanna,This Is What You Came For,2016
18,DNCE,Cake By The Ocean,2016
19,G-Eazy x Bebe Rexha,"Me, Myself & I",2016
20,twenty one pilots,Ride,2016
21,twenty one pilots,Heathens,2016
22,Zayn,Pillowtalk,2016
23,Shawn Mendes,Stitches,2016
24,Drake,Hotline Bling,2016
25,Major Lazer Featuring Justin Bieber & MO,Cold Water,2016
26,Adele,Send My Love (To Your New Lover),2016
27,The Chainsmokers Featuring Rozes,Roses,2016
28,Shawn Mendes,Treat You Better,2016
29,Drake Featuring Rihanna,Too Good,2016
30,Future Featuring The Weeknd,Low Life,2016
31,Justin Bieber,What Do You Mean?,2016
32,The Weeknd,The Hills,2016
33,P!nk,Just Like Fire,2016
34,D.R.A.M. Featuring Lil Yachty,Broccoli,2016
35,Bryson Tiller,Don't,2016
36,Ariana Grande,Dangerous Woman,2016
37,Drake & Future,Jumpman,2016
38,gnash Featuring Olivia O'Brien,I Hate U I Love U,2016
39,Alessia Cara,Here,2016
40,Selena Gomez,Same Old Love,2016
41,Drake,Controlla,2016
42,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,2016
43,Charlie Puth,One Call Away,2016
44,James Bay,Let It Go,2016
45,Meghan Trainor,No,2016
46,Zara Larsson & MNEK,Never Forget You,2016
47,DJ Snake Featuring Justin Bieber,Let Me Love You,2016
48,Kent Jones,Don't Mind,2016
49,Florida Georgia Line,H.O.L.Y.,2016
50,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,2016
51,Ariana Grande,Into You,2016
52,Kiiara,Gold,2016
53,Bryson Tiller,Exchange,2016
54,Fetty Wap Featuring Remy Boyz,679,2016
55,Jeremih,Oui,2016
56,Selena Gomez,Hands To Myself,2016
57,Kevin Gates,2 Phones,2016
58,The Weeknd Featuring Daft Punk,Starboy,2016
59,DJ Khaled Featuring Drake,For Free,2016
60,Flume Featuring Kai,Never Be Like You,2016
61,The Weeknd,In The Night,2016
62,Meghan Trainor,Me Too,2016
63,Elle King,Ex's & Oh's,2016
64,Thomas Rhett,Die A Happy Man,2016
65,Post Malone,White Iverson,2016
66,Nick Jonas Featuring Tove Lo,Close,2016
67,X Ambassadors,Unsteady,2016
68,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,2016
69,Yo Gotti,Down In The DM,2016
70,Tory Lanez,Luv,2016
71,Beyonce,Sorry,2016
72,The Weeknd,Can't Feel My Face,2016
73,Coldplay,Hymn For The Weekend,2016
74,Tory Lanez,Say It,2016
75,Travis Scott,Antidote,2016
76,Ruth B,Lost Boy,2016
77,Ariana Grande Featuring Nicki Minaj,Side To Side,2016
78,Daya,"Sit Still, Look Pretty",2016
79,Taylor Swift,Wildest Dreams,2016
80,DJ Snake Featuring Bipolar Sunshine,Middle,2016
81,Ellie Goulding,On My Mind,2016
82,Drake Featuring The Throne,Pop Style,2016
83,Adele,When We Were Young,2016
84,Daya,Hide Away,2016
85,Major Lazer & DJ Snake Featuring MO,Lean On,2016
86,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,2016
87,Silento,Watch Me,2016
88,Chris Brown,Back To Sleep,2016
89,Usher Featuring Young Thug,No Limit,2016
90,O.T. Genasis Featuring Young Dolph,Cut It,2016
91,Kevin Gates,Really Really,2016
92,Fifth Harmony Featuring Fetty Wap,All In My Head (Flex),2016
93,Hailee Steinfeld & Grey Featuring Zedd,Starving,2016
94,Coldplay,Adventure Of A Lifetime,2016
95,Tim McGraw,Humble And Kind,2016
96,Future,Wicked,2016
97,Desiigner,Tiimmy Turner,2016
98,Wiz Khalifa Featuring Charlie Puth,See You Again,2016
99,One Direction,Perfect,2016
